timestep,cars_north_lane,cars_south_lane,cars_east_lane,cars_west_lane,light_state_north,light_state_south,light_state_east,light_state_west,north_avg_wait_time,south_avg_wait_time,east_avg_wait_time,west_avg_wait_time
288.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,19.333333333333332,19.333333333333332
289.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,20.333333333333332,20.333333333333332
290.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,21.333333333333332,21.333333333333332
291.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,16.75,16.75
292.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,17.75,17.75
293.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,15.0
294.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,9.2,9.2
295.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,5.6,5.6
296.0,2.0,2.0,5.0,5.0,0.0,0.0,1.0,1.0,0.5,0.5,2.2,2.2
297.0,2.0,2.0,4.0,4.0,0.0,0.0,1.0,1.0,1.5,1.5,2.5,2.5
298.0,2.0,2.0,4.0,4.0,0.0,0.0,1.0,1.0,2.5,2.5,2.25,2.25
299.0,3.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,2.3333333333333335,2.3333333333333335,2.0,2.0
300.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,3.3333333333333335,3.3333333333333335,2.3333333333333335,2.3333333333333335
