total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,north_current_wait_time,south_queue_size,south_current_wait_time,east_queue_size,east_current_wait_time,west_queue_size,west_current_wait_time
79,1,1,0,0,1,1.0,0,0.0,4,17.0,4,26.0
80,1,1,0,0,0,1.0,0,0.0,4,18.0,4,27.0
81,1,1,0,0,0,0.0,1,0.0,4,19.0,4,28.0
82,1,1,0,0,0,0.0,0,1.0,4,20.0,4,29.0
83,1,1,0,0,1,0.0,1,0.0,4,21.0,4,30.0
84,1,1,0,0,1,1.0,0,1.0,4,22.0,4,31.0
85,1,1,0,0,1,1.0,1,0.0,4,23.0,4,32.0
86,1,1,0,0,0,1.0,1,1.0,4,24.0,5,33.0
87,1,1,0,0,0,0.0,0,1.0,4,25.0,5,27.4
88,1,1,0,0,0,0.0,0,0.0,4,26.0,5,28.4
89,1,1,0,0,1,0.0,1,0.0,4,27.0,5,29.4
90,1,1,0,0,1,1.0,1,1.0,4,28.0,5,30.4
91,1,1,0,0,0,1.0,1,1.0,4,29.0,5,31.4
92,1,1,0,0,0,0.0,0,1.0,4,30.0,5,32.4
93,1,1,0,0,1,0.0,1,0.0,5,31.0,6,33.4
94,1,1,0,0,0,1.0,1,1.0,5,25.8,6,28.833333333333332
95,1,1,0,0,1,0.0,1,1.0,5,26.8,6,29.833333333333332
96,0,0,1,1,0,1.0,0,1.0,5,27.8,6,30.833333333333332
97,0,0,1,1,0,0.0,1,0.0,4,28.8,6,31.833333333333332
98,0,0,1,1,0,0.0,1,1.0,3,26.75,5,24.0
99,0,0,1,1,0,0.0,2,2.0,2,23.666666666666668,4,19.8
100,0,0,1,1,1,0.0,2,2.0,1,19.0,3,14.0
101,0,0,1,1,1,1.0,2,3.0,0,8.0,2,9.0
102,0,0,1,1,2,2.0,3,4.0,0,0.0,1,7.0
103,0,0,1,1,3,2.0,4,3.6666666666666665,0,0.0,0,6.0
104,0,0,1,1,3,2.3333333333333335,5,3.75,0,0.0,0,0.0
105,0,0,1,1,3,3.3333333333333335,5,4.0,0,0.0,1,0.0
106,0,0,1,1,3,4.333333333333333,5,5.0,0,0.0,0,1.0
107,0,0,1,1,4,5.333333333333333,5,6.0,0,0.0,0,0.0
108,0,0,1,1,4,5.0,6,7.0,0,0.0,0,0.0
109,0,0,1,1,4,6.0,6,6.833333333333333,0,0.0,0,0.0
110,0,0,1,1,4,7.0,6,7.833333333333333,0,0.0,0,0.0
111,1,1,0,0,4,8.0,7,8.833333333333334,0,0.0,0,0.0
112,1,1,0,0,4,9.0,7,8.571428571428571,1,0.0,0,0.0
113,1,1,0,0,4,7.0,7,7.428571428571429,1,1.0,0,0.0
114,1,1,0,0,3,5.25,7,6.428571428571429,1,2.0,0,0.0
115,1,1,0,0,2,4.333333333333333,6,5.714285714285714,1,3.0,0,0.0
116,1,1,0,0,2,3.5,6,5.666666666666667,1,4.0,0,0.0
117,1,1,0,0,2,2.5,5,4.666666666666667,1,5.0,0,0.0
118,1,1,0,0,2,1.5,5,4.8,1,6.0,0,0.0
119,1,1,0,0,1,1.5,5,4.4,1,7.0,1,0.0
120,1,1,0,0,0,2.0,4,4.0,2,8.0,1,1.0
121,1,1,0,0,1,0.0,4,4.25,2,5.0,1,2.0
122,1,1,0,0,0,1.0,4,3.5,2,6.0,1,3.0
123,1,1,0,0,1,0.0,4,3.0,2,7.0,1,4.0
124,1,1,0,0,0,1.0,3,2.75,2,8.0,1,5.0
125,1,1,0,0,0,0.0,3,3.0,2,9.0,1,6.0
126,1,1,0,0,0,0.0,2,2.6666666666666665,3,10.0,1,7.0
127,1,1,0,0,0,0.0,2,3.0,3,7.666666666666667,1,8.0
128,1,1,0,0,1,0.0,2,2.0,3,8.666666666666666,1,9.0
129,1,1,0,0,1,1.0,1,1.5,4,9.666666666666666,1,10.0
130,1,1,0,0,1,1.0,0,2.0,4,8.25,1,11.0
131,1,1,0,0,1,1.0,0,0.0,5,9.25,1,12.0
132,1,1,0,0,1,1.0,0,0.0,6,8.4,2,13.0
133,1,1,0,0,1,1.0,0,0.0,6,8.0,2,7.5
134,1,1,0,0,0,1.0,1,0.0,6,9.0,3,8.5
135,1,1,0,0,1,0.0,1,1.0,6,10.0,4,6.666666666666667
136,1,1,0,0,1,1.0,0,1.0,6,11.0,4,6.0
