timestep,light_state_north,light_state_south,light_state_east,light_state_west,cars_north_lane,cars_south_lane,cars_east_lane,cars_west_lane,north_avg_wait_time,south_avg_wait_time,east_avg_wait_time,west_avg_wait_time
9919,1,1,0,0,2,2,1,1,3.5,3.5,3.0,3.0
9920,1,1,0,0,1,1,1,1,4.0,4.0,4.0,4.0
9921,1,1,0,0,1,1,2,2,0.0,0.0,2.5,2.5
9922,1,1,0,0,1,1,2,2,0.0,0.0,3.5,3.5
9923,1,1,0,0,0,0,2,2,0.0,0.0,4.5,4.5
9924,1,1,0,0,0,0,2,2,0.0,0.0,5.5,5.5
9925,1,1,0,0,0,0,2,2,0.0,0.0,6.5,6.5
9926,1,1,0,0,0,0,2,2,0.0,0.0,7.5,7.5
9927,1,1,0,0,0,0,2,2,0.0,0.0,8.5,8.5
9928,1,1,0,0,0,0,2,2,0.0,0.0,9.5,9.5
9929,1,1,0,0,0,0,2,2,0.0,0.0,10.5,10.5
9930,1,1,0,0,0,0,2,2,0.0,0.0,11.5,11.5
9931,1,1,0,0,0,0,2,2,0.0,0.0,12.5,12.5
9932,1,1,0,0,0,0,3,3,0.0,0.0,9.0,9.0
9933,1,1,0,0,0,0,3,3,0.0,0.0,10.0,10.0
9934,1,1,0,0,0,0,4,4,0.0,0.0,8.25,8.25
9935,0,0,1,1,0,0,5,5,0.0,0.0,7.4,7.4
9936,0,0,1,1,1,1,4,4,0.0,0.0,5.5,5.5
9937,0,0,1,1,1,1,3,3,1.0,1.0,3.3333333333333335,3.3333333333333335
9938,0,0,1,1,2,2,2,2,1.0,1.0,3.5,3.5
9939,0,0,1,1,2,2,1,1,2.0,2.0,4.0,4.0
9940,0,0,1,1,2,2,0,0,3.0,3.0,0.0,0.0
9941,0,0,1,1,2,2,0,0,4.0,4.0,0.0,0.0
9942,0,0,1,1,2,2,0,0,5.0,5.0,0.0,0.0
9943,0,0,1,1,3,3,0,0,4.0,4.0,0.0,0.0
9944,0,0,1,1,3,3,0,0,5.0,5.0,0.0,0.0
9945,0,0,1,1,3,3,0,0,6.0,6.0,0.0,0.0
9946,0,0,1,1,3,3,0,0,7.0,7.0,0.0,0.0
9947,0,0,1,1,3,3,0,0,8.0,8.0,0.0,0.0
9948,0,0,1,1,4,4,0,0,6.75,6.75,0.0,0.0
9949,0,0,1,1,4,4,0,0,7.75,7.75,0.0,0.0
