total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,north_current_wait_time,south_queue_size,south_current_wait_time,east_queue_size,east_current_wait_time,west_queue_size,west_current_wait_time
159,1,1,0,0,4,8.0,5,8.666666666666666,0,0.0,0,0.0
160,1,1,0,0,3,7.5,4,8.6,0,0.0,0,0.0
161,1,1,0,0,3,7.0,3,8.5,0,0.0,1,0.0
162,1,1,0,0,2,4.0,3,8.333333333333334,0,0.0,1,1.0
163,1,1,0,0,2,3.5,2,5.666666666666667,0,0.0,1,2.0
164,1,1,0,0,1,2.0,2,4.0,1,0.0,2,3.0
165,1,1,0,0,1,2.0,1,2.0,2,1.0,2,2.5
166,1,1,0,0,0,1.0,1,2.0,2,1.5,2,3.5
167,1,1,0,0,0,0.0,1,1.0,2,2.5,2,4.5
168,1,1,0,0,1,0.0,1,1.0,2,3.5,2,5.5
169,1,1,0,0,1,1.0,0,1.0,2,4.5,3,6.5
170,1,1,0,0,0,1.0,1,0.0,2,5.5,3,5.333333333333333
171,1,1,0,0,0,0.0,1,1.0,3,6.5,3,6.333333333333333
172,1,1,0,0,0,0.0,0,1.0,3,5.333333333333333,3,7.333333333333333
173,1,1,0,0,0,0.0,0,0.0,3,6.333333333333333,3,8.333333333333334
174,1,1,0,0,0,0.0,0,0.0,3,7.333333333333333,3,9.333333333333334
175,1,1,0,0,1,0.0,1,0.0,3,8.333333333333334,4,10.333333333333334
176,1,1,0,0,1,1.0,0,1.0,3,9.333333333333334,4,8.75
177,1,1,0,0,0,1.0,0,0.0,3,10.333333333333334,4,9.75
178,1,1,0,0,1,0.0,0,0.0,3,11.333333333333334,4,10.75
179,1,1,0,0,0,1.0,1,0.0,3,12.333333333333334,5,11.75
180,1,1,0,0,0,0.0,1,1.0,3,13.333333333333334,5,10.4
181,1,1,0,0,0,0.0,0,1.0,3,14.333333333333334,5,11.4
182,1,1,0,0,0,0.0,0,0.0,3,15.333333333333334,6,12.4
183,1,1,0,0,0,0.0,1,0.0,4,16.333333333333332,6,11.333333333333334
184,1,1,0,0,0,0.0,1,1.0,5,13.25,6,12.333333333333334
185,1,1,0,0,1,0.0,0,1.0,5,11.6,6,13.333333333333334
186,1,1,0,0,1,1.0,1,0.0,5,12.6,7,14.333333333333334
187,0,0,1,1,1,1.0,1,1.0,5,13.6,8,13.285714285714286
188,0,0,1,1,1,1.0,1,1.0,4,14.6,8,12.625
189,0,0,1,1,2,2.0,2,2.0,3,13.25,8,10.25
190,0,0,1,1,3,2.0,2,2.0,2,10.666666666666666,7,8.125
191,0,0,1,1,4,2.3333333333333335,3,3.0,1,7.5,6,7.285714285714286
192,0,0,1,1,4,2.75,3,3.0,0,8.0,5,6.833333333333333
193,0,0,1,1,5,3.75,4,4.0,0,0.0,4,6.6
194,0,0,1,1,6,4.0,4,4.0,0,0.0,3,6.5
195,0,0,1,1,6,4.333333333333333,5,5.0,0,0.0,2,7.0
196,0,0,1,1,6,5.333333333333333,6,5.0,0,0.0,2,7.5
197,1,1,0,0,6,6.333333333333333,6,5.166666666666667,0,0.0,1,4.5
198,1,1,0,0,5,7.333333333333333,5,6.166666666666667,0,0.0,1,2.0
199,1,1,0,0,4,7.6,4,6.2,0,0.0,1,3.0
200,1,1,0,0,4,8.0,3,6.25,0,0.0,1,4.0
