total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,south_queue_size,east_queue_size,west_queue_size
175,1,1,0,0,1,4,1,6
176,1,1,0,0,1,4,1,6
177,1,1,0,0,1,3,1,6
178,1,1,0,0,1,3,2,7
179,1,1,0,0,0,2,2,7
180,1,1,0,0,0,2,2,8
181,1,1,0,0,1,2,2,8
182,1,1,0,0,1,2,2,8
183,1,1,0,0,1,2,2,8
184,1,1,0,0,0,1,2,8
185,1,1,0,0,1,0,2,8
186,1,1,0,0,1,0,2,8
187,1,1,0,0,1,0,2,9
188,1,1,0,0,1,1,2,10
189,0,0,1,1,1,0,3,10
190,0,0,1,1,2,1,2,9
191,0,0,1,1,3,2,1,9
192,0,0,1,1,3,2,0,8
193,0,0,1,1,4,3,0,7
194,0,0,1,1,5,4,1,6
195,0,0,1,1,5,5,0,5
196,0,0,1,1,6,6,0,4
197,1,1,0,0,7,7,0,3
198,1,1,0,0,7,6,0,3
199,1,1,0,0,7,6,0,3
200,1,1,0,0,7,6,0,3
201,1,1,0,0,7,6,0,3
202,1,1,0,0,7,6,0,4
203,1,1,0,0,7,6,0,4
204,1,1,0,0,7,5,0,4
205,1,1,0,0,6,4,0,4
206,1,1,0,0,6,4,0,4
207,1,1,0,0,6,4,0,4
208,1,1,0,0,6,4,0,4
209,1,1,0,0,6,4,0,5
210,1,1,0,0,5,3,0,5
211,1,1,0,0,5,3,0,5
212,1,1,0,0,4,3,0,5
213,1,1,0,0,3,2,0,5
214,1,1,0,0,3,2,0,5
215,1,1,0,0,3,1,0,5
216,1,1,0,0,3,0,0,5
217,1,1,0,0,2,1,0,5
218,1,1,0,0,2,0,0,5
219,1,1,0,0,1,1,1,5
220,1,1,0,0,0,0,1,5
221,1,1,0,0,1,1,1,5
222,1,1,0,0,0,1,1,5
223,1,1,0,0,1,1,1,5
224,1,1,0,0,0,0,1,5
225,1,1,0,0,1,0,2,6
226,1,1,0,0,0,0,2,6
227,1,1,0,0,1,1,2,6
228,1,1,0,0,0,0,2,6
229,1,1,0,0,0,1,3,6
230,1,1,0,0,1,1,3,6
231,1,1,0,0,0,1,3,6
232,1,1,0,0,0,0,3,6
233,1,1,0,0,1,0,3,7
234,1,1,0,0,0,1,3,7
235,1,1,0,0,0,0,3,7
236,1,1,0,0,0,1,4,7
237,0,0,1,1,1,0,5,7
238,0,0,1,1,2,1,4,6
239,0,0,1,1,3,2,3,5
240,0,0,1,1,4,2,2,4
241,0,0,1,1,4,3,1,3
242,0,0,1,1,4,4,0,2
243,0,0,1,1,4,4,0,1
244,0,0,1,1,5,5,0,0
245,1,1,0,0,6,6,0,0
246,1,1,0,0,5,6,0,0
247,1,1,0,0,5,5,0,0
248,1,1,0,0,4,4,0,0
249,1,1,0,0,3,4,0,0
250,1,1,0,0,2,4,1,0
251,1,1,0,0,2,4,2,0
252,1,1,0,0,2,3,2,0
253,1,1,0,0,2,2,2,0
254,1,1,0,0,2,2,2,0
255,1,1,0,0,2,2,2,0
256,1,1,0,0,2,1,2,0
257,1,1,0,0,1,0,2,0
258,1,1,0,0,1,1,2,1
259,1,1,0,0,1,0,2,1
260,1,1,0,0,1,1,2,1
261,1,1,0,0,0,1,2,1
262,1,1,0,0,1,0,2,1
263,1,1,0,0,1,0,2,1
264,1,1,0,0,1,1,2,1
265,1,1,0,0,1,1,3,1
266,1,1,0,0,1,0,4,1
267,1,1,0,0,0,1,4,1
268,1,1,0,0,0,0,4,1
269,1,1,0,0,1,1,4,1
270,1,1,0,0,0,0,4,1
271,1,1,0,0,0,1,4,2
272,1,1,0,0,1,1,4,2
273,1,1,0,0,0,1,4,2
274,1,1,0,0,0,1,4,2
275,1,1,0,0,0,0,4,2
276,1,1,0,0,0,1,4,2
277,1,1,0,0,1,1,4,2
278,1,1,0,0,1,0,4,2
