total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,south_queue_size,east_queue_size,west_queue_size
1,1,1,0,0,0,1,0,0
2,1,1,0,0,0,1,0,1
3,1,1,0,0,1,0,0,2
4,1,1,0,0,0,1,1,3
5,1,1,0,0,0,0,2,3
6,1,1,0,0,0,0,3,3
7,1,1,0,0,0,0,3,3
8,1,1,0,0,0,1,3,4
9,1,1,0,0,1,0,3,5
10,1,1,0,0,0,1,3,5
11,1,1,0,0,0,0,3,6
12,1,1,0,0,0,1,4,7
13,1,1,0,0,0,1,4,7
14,1,1,0,0,1,0,4,7
15,0,0,1,1,0,1,5,8
16,0,0,1,1,1,2,4,7
17,0,0,1,1,2,3,3,6
18,0,0,1,1,2,3,3,6
19,0,0,1,1,3,3,2,5
20,0,0,1,1,4,4,1,5
21,0,0,1,1,5,4,0,5
22,0,0,1,1,6,4,1,4
23,0,0,1,1,6,5,1,3
24,0,0,1,1,7,6,1,3
25,0,0,1,1,7,6,1,2
26,1,1,0,0,8,6,0,2
27,1,1,0,0,8,6,1,3
28,1,1,0,0,8,6,2,4
29,1,1,0,0,8,6,3,5
30,1,1,0,0,7,5,4,6
31,1,1,0,0,7,4,5,7
32,1,1,0,0,6,3,6,8
33,1,1,0,0,6,2,6,8
34,1,1,0,0,6,2,7,8
35,1,1,0,0,5,2,8,8
36,1,1,0,0,4,2,8,8
37,0,0,1,1,3,1,9,8
38,0,0,1,1,4,1,8,8
39,0,0,1,1,5,1,8,7
40,0,0,1,1,6,1,7,6
41,0,0,1,1,7,2,6,5
42,0,0,1,1,7,3,6,4
43,0,0,1,1,8,4,5,4
44,0,0,1,1,9,4,4,4
45,0,0,1,1,9,4,4,4
46,0,0,1,1,9,5,3,4
47,0,0,1,1,9,6,2,3
48,1,1,0,0,9,7,2,3
49,1,1,0,0,8,7,2,4
50,1,1,0,0,7,6,3,4
51,1,1,0,0,6,6,4,4
52,1,1,0,0,6,6,4,4
53,1,1,0,0,6,5,4,4
54,1,1,0,0,5,5,5,4
55,1,1,0,0,4,4,6,5
56,1,1,0,0,3,4,7,6
57,1,1,0,0,2,3,8,7
58,0,0,1,1,1,3,9,8
59,0,0,1,1,1,3,9,7
60,0,0,1,1,2,4,8,7
61,0,0,1,1,2,5,7,6
62,0,0,1,1,2,5,6,5
63,0,0,1,1,2,6,6,5
64,0,0,1,1,3,6,6,5
65,0,0,1,1,3,7,5,4
66,0,0,1,1,3,7,4,3
67,0,0,1,1,4,8,4,3
68,0,0,1,1,4,9,3,3
69,0,0,1,1,5,10,3,3
70,0,0,1,1,5,10,3,3
71,1,1,0,0,5,11,2,2
72,1,1,0,0,5,11,3,3
73,1,1,0,0,5,10,4,3
74,1,1,0,0,4,9,5,3
75,1,1,0,0,4,8,6,4
76,1,1,0,0,4,7,6,5
77,1,1,0,0,3,7,6,6
78,1,1,0,0,2,7,6,7
79,1,1,0,0,1,7,6,8
80,1,1,0,0,1,7,7,9
81,1,1,0,0,0,7,8,9
82,0,0,1,1,0,7,9,10
83,0,0,1,1,0,8,9,10
84,0,0,1,1,0,9,8,10
85,0,0,1,1,0,9,7,9
86,0,0,1,1,0,10,6,8
87,0,0,1,1,0,11,5,8
88,0,0,1,1,1,11,5,8
89,0,0,1,1,2,12,5,7
90,0,0,1,1,3,13,4,6
91,0,0,1,1,3,13,3,6
92,0,0,1,1,3,14,2,5
93,1,1,0,0,3,15,2,5
94,1,1,0,0,3,14,2,5
95,1,1,0,0,2,13,3,6
96,1,1,0,0,2,12,3,7
97,1,1,0,0,2,12,4,7
98,1,1,0,0,2,11,5,7
99,1,1,0,0,2,11,5,8
100,1,1,0,0,1,11,6,9
101,1,1,0,0,0,10,6,10
102,1,1,0,0,1,10,7,11
103,1,1,0,0,1,9,8,12
104,1,1,0,0,1,9,8,12
105,0,0,1,1,1,8,8,12
106,0,0,1,1,1,9,7,11
107,0,0,1,1,1,9,6,10
108,0,0,1,1,1,9,5,9
109,0,0,1,1,2,10,5,8
110,0,0,1,1,3,10,4,7
111,0,0,1,1,3,11,3,7
112,0,0,1,1,4,12,2,7
113,0,0,1,1,5,12,1,6
114,0,0,1,1,5,12,1,6
115,0,0,1,1,5,12,1,6
116,1,1,0,0,6,12,0,5
117,1,1,0,0,6,12,0,5
118,1,1,0,0,6,12,1,6
119,1,1,0,0,5,12,2,7
120,1,1,0,0,4,11,2,8
121,1,1,0,0,3,10,2,9
122,1,1,0,0,2,9,2,9
123,1,1,0,0,1,9,2,10
124,1,1,0,0,1,8,2,10
125,1,1,0,0,0,7,3,10
126,1,1,0,0,1,7,3,11
127,1,1,0,0,1,6,4,11
128,1,1,0,0,1,6,5,12
129,0,0,1,1,0,5,5,13
130,0,0,1,1,1,6,5,13
131,0,0,1,1,2,6,4,13
132,0,0,1,1,3,7,4,12
133,0,0,1,1,4,7,3,12
134,0,0,1,1,5,7,3,12
135,0,0,1,1,6,7,2,11
136,0,0,1,1,6,8,2,11
137,0,0,1,1,6,9,1,10
138,0,0,1,1,7,9,0,9
139,0,0,1,1,8,10,1,9
140,0,0,1,1,8,10,1,8
141,1,1,0,0,8,11,1,7
142,1,1,0,0,7,11,1,8
143,1,1,0,0,7,11,2,9
144,1,1,0,0,6,10,2,9
145,1,1,0,0,6,10,3,10
146,1,1,0,0,6,10,3,10
147,1,1,0,0,5,10,4,11
148,1,1,0,0,5,10,5,11
149,1,1,0,0,4,9,6,12
150,1,1,0,0,3,9,7,12
151,1,1,0,0,2,8,8,12
152,0,0,1,1,1,7,9,12
153,0,0,1,1,1,7,8,11
154,0,0,1,1,1,8,8,10
155,0,0,1,1,2,8,7,10
156,0,0,1,1,2,9,7,10
157,0,0,1,1,3,10,6,10
158,0,0,1,1,3,10,6,10
159,0,0,1,1,3,10,5,9
160,0,0,1,1,4,11,4,8
161,0,0,1,1,5,11,3,8
162,0,0,1,1,5,11,2,8
163,0,0,1,1,6,11,1,7
164,1,1,0,0,7,12,0,7
165,1,1,0,0,7,12,1,8
166,1,1,0,0,7,11,2,9
167,1,1,0,0,7,11,3,9
168,1,1,0,0,6,10,4,10
169,1,1,0,0,6,9,4,10
170,1,1,0,0,5,8,5,10
171,1,1,0,0,4,7,6,11
172,1,1,0,0,4,7,7,12
173,0,0,1,1,3,7,8,13
174,0,0,1,1,3,8,8,12
175,0,0,1,1,3,9,7,12
176,0,0,1,1,3,10,7,11
177,0,0,1,1,3,11,6,10
178,0,0,1,1,4,12,5,10
179,0,0,1,1,5,13,5,9
180,0,0,1,1,6,13,4,8
181,0,0,1,1,7,13,4,8
182,1,1,0,0,7,14,3,7
183,1,1,0,0,7,13,4,8
184,1,1,0,0,7,13,4,9
185,1,1,0,0,7,13,4,10
186,1,1,0,0,7,12,4,10
187,1,1,0,0,6,12,5,11
188,1,1,0,0,5,12,6,12
189,1,1,0,0,4,11,6,12
190,1,1,0,0,3,11,7,13
191,1,1,0,0,3,11,8,14
