total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,north_current_wait_time,south_queue_size,south_current_wait_time,east_queue_size,east_current_wait_time,west_queue_size,west_current_wait_time
14604,0,0,1,1,0,0.0,2,4.5,1,0.0,1,0.0
14605,0,0,1,1,0,0.0,2,5.5,1,1.0,0,1.0
14606,0,0,1,1,0,0.0,2,6.5,1,1.0,0,0.0
14607,0,0,1,1,1,0.0,3,7.5,0,1.0,0,0.0
14608,0,0,1,1,1,1.0,3,6.0,0,0.0,1,0.0
14609,0,0,1,1,1,2.0,3,7.0,1,0.0,1,1.0
14610,0,0,1,1,1,3.0,4,8.0,1,1.0,0,1.0
14611,0,0,1,1,1,4.0,4,7.0,0,1.0,0,0.0
14612,0,0,1,1,1,5.0,5,8.0,0,0.0,0,0.0
14613,0,0,1,1,2,6.0,6,7.4,0,0.0,0,0.0
14614,0,0,1,1,3,4.0,6,7.166666666666667,0,0.0,0,0.0
14615,0,0,1,1,3,3.6666666666666665,6,8.166666666666666,1,0.0,0,0.0
14616,0,0,1,1,3,4.666666666666667,6,9.166666666666666,0,1.0,0,0.0
14617,0,0,1,1,4,5.666666666666667,6,10.166666666666666,1,0.0,1,0.0
14618,1,1,0,0,5,5.25,6,11.166666666666666,0,1.0,0,1.0
14619,1,1,0,0,4,5.2,5,12.166666666666666,0,0.0,0,0.0
14620,1,1,0,0,3,4.5,4,11.0,0,0.0,0,0.0
14621,1,1,0,0,2,4.666666666666667,3,10.5,0,0.0,0,0.0
14622,1,1,0,0,1,4.5,2,10.333333333333334,1,0.0,0,0.0
14623,1,1,0,0,1,5.0,2,10.5,1,1.0,0,0.0
14624,1,1,0,0,1,1.0,1,6.0,1,2.0,1,0.0
14625,1,1,0,0,0,1.0,1,2.0,2,3.0,1,1.0
14626,1,1,0,0,0,0.0,0,1.0,2,2.5,1,2.0
14627,1,1,0,0,0,0.0,0,0.0,3,3.5,1,3.0
14628,1,1,0,0,1,0.0,0,0.0,3,3.3333333333333335,2,4.0
14629,1,1,0,0,0,1.0,0,0.0,3,4.333333333333333,2,3.0
14630,1,1,0,0,0,0.0,0,0.0,4,5.333333333333333,3,4.0
14631,1,1,0,0,1,0.0,0,0.0,4,5.0,3,3.6666666666666665
14632,1,1,0,0,1,1.0,1,0.0,4,6.0,3,4.666666666666667
14633,1,1,0,0,0,1.0,0,1.0,5,7.0,4,5.666666666666667
14634,1,1,0,0,1,0.0,0,0.0,5,6.6,4,5.25
14635,1,1,0,0,0,1.0,0,0.0,5,7.6,5,6.25
14636,1,1,0,0,0,0.0,1,0.0,5,8.6,6,6.0
14637,0,0,1,1,1,0.0,0,1.0,5,9.6,7,6.0
14638,0,0,1,1,2,1.0,0,0.0,4,10.6,6,6.142857142857143
14639,0,0,1,1,2,1.5,0,0.0,4,10.25,5,5.833333333333333
14640,0,0,1,1,3,2.5,0,0.0,4,7.75,5,5.8
14641,0,0,1,1,3,2.6666666666666665,0,0.0,3,5.5,5,4.8
14642,0,0,1,1,3,3.6666666666666665,0,0.0,2,4.666666666666667,4,4.2
14643,0,0,1,1,3,4.666666666666667,0,0.0,1,3.5,3,4.5
14644,0,0,1,1,4,5.666666666666667,0,0.0,1,4.0,2,4.666666666666667
14645,0,0,1,1,5,5.25,0,0.0,0,1.0,1,4.5
14646,0,0,1,1,5,5.2,0,0.0,0,0.0,0,5.0
14647,0,0,1,1,5,6.2,0,0.0,0,0.0,1,0.0
14648,0,0,1,1,5,7.2,0,0.0,0,0.0,1,1.0
14649,0,0,1,1,5,8.2,0,0.0,1,0.0,0,1.0
14650,0,0,1,1,5,9.2,0,0.0,0,1.0,1,0.0
14651,0,0,1,1,6,10.2,1,0.0,0,0.0,0,1.0
14652,0,0,1,1,6,9.5,1,1.0,0,0.0,1,0.0
14653,0,0,1,1,6,10.5,1,2.0,0,0.0,1,1.0
14654,0,0,1,1,6,11.5,1,3.0,0,0.0,0,1.0
14655,0,0,1,1,7,12.5,1,4.0,1,0.0,0,0.0
14656,0,0,1,1,7,11.714285714285714,1,5.0,0,1.0,0,0.0
14657,0,0,1,1,7,12.714285714285714,1,6.0,0,0.0,1,0.0
14658,0,0,1,1,7,13.714285714285714,1,7.0,1,0.0,0,1.0
14659,0,0,1,1,7,14.714285714285714,2,8.0,0,1.0,0,0.0
14660,0,0,1,1,7,15.714285714285714,2,5.0,1,0.0,1,0.0
14661,0,0,1,1,7,16.714285714285715,2,6.0,1,1.0,1,1.0
14662,0,0,1,1,7,17.714285714285715,2,7.0,0,1.0,0,1.0
14663,0,0,1,1,7,18.714285714285715,2,8.0,1,0.0,0,0.0
14664,1,1,0,0,8,19.714285714285715,3,9.0,0,1.0,0,0.0
14665,1,1,0,0,8,18.25,2,7.0,0,0.0,0,0.0
14666,1,1,0,0,8,15.75,1,4.5,0,0.0,0,0.0
14667,1,1,0,0,7,13.25,0,3.0,0,0.0,0,0.0
14668,1,1,0,0,6,12.285714285714286,0,0.0,0,0.0,0,0.0
14669,1,1,0,0,5,11.333333333333334,0,0.0,0,0.0,1,0.0
14670,1,1,0,0,4,9.8,1,0.0,1,0.0,1,1.0
14671,1,1,0,0,4,8.5,1,1.0,1,1.0,2,2.0
14672,1,1,0,0,4,5.5,0,1.0,1,2.0,2,2.0
14673,1,1,0,0,3,4.5,1,0.0,2,3.0,2,3.0
14674,1,1,0,0,3,4.333333333333333,1,1.0,3,2.5,3,4.0
14675,1,1,0,0,2,2.6666666666666665,0,1.0,3,2.6666666666666665,4,3.6666666666666665
14676,1,1,0,0,2,3.0,0,0.0,3,3.6666666666666665,4,3.75
14677,1,1,0,0,1,2.0,1,0.0,4,4.666666666666667,4,4.75
14678,1,1,0,0,0,2.0,0,1.0,4,4.5,4,5.75
14679,1,1,0,0,0,0.0,1,0.0,4,5.5,5,6.75
14680,1,1,0,0,0,0.0,0,1.0,4,6.5,6,6.4
14681,0,0,1,1,0,0.0,0,0.0,5,7.5,7,6.333333333333333
